@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2019/05/08 21:25:40:906',1,0,0,0.44,0.3,0
2,'2019/05/08 21:25:40:922',1,0,0,0.44,0.3,0
3,'2019/05/08 21:25:40:939',1,0,0,0.44,0.3,0
4,'2019/05/08 21:25:40:956',1,0,0,0.44,0.3,0
5,'2019/05/08 21:25:40:972',1,0,0,0.44,0.3,0
6,'2019/05/08 21:25:40:989',1,0,0,0.44,0.3,0
7,'2019/05/08 21:25:41:006',1,0,0,0.44,0.3,0
8,'2019/05/08 21:25:41:023',1,0,0,0.44,0.3,0
9,'2019/05/08 21:25:41:039',1,0,0,0.44,0.3,0
10,'2019/05/08 21:25:41:056',1,0,0,0.44,0.3,0
11,'2019/05/08 21:25:41:073',1,0,0,0.44,0.3,0
12,'2019/05/08 21:25:41:089',1,0,0,0.44,0.3,0
13,'2019/05/08 21:25:41:105',1,0,0,0.44,0.3,0
14,'2019/05/08 21:25:41:122',1,0,0,0.44,0.3,0
15,'2019/05/08 21:25:41:139',1,0,0,0.44,0.3,0
16,'2019/05/08 21:25:41:155',1,0,0,0.44,0.3,0
17,'2019/05/08 21:25:41:172',1,0,0,0.44,0.3,0
18,'2019/05/08 21:25:41:189',1,0,0,0.44,0.3,0
19,'2019/05/08 21:25:41:205',1,0,0,0.44,0.3,0
20,'2019/05/08 21:25:41:222',1,0,0,0.44,0.3,0
21,'2019/05/08 21:25:41:238',1,0,0,0.44,0.3,0
22,'2019/05/08 21:25:41:255',1,0,0,0.44,0.3,0
23,'2019/05/08 21:25:41:272',1,0,0,0.44,0.3,0
24,'2019/05/08 21:25:41:288',1,0,0,0.44,0.3,0
25,'2019/05/08 21:25:41:305',1,0,0,0.44,0.3,0
26,'2019/05/08 21:25:41:322',1,0,0,0.44,0.3,0
27,'2019/05/08 21:25:41:338',1,0,0,0.44,0.3,0
28,'2019/05/08 21:25:41:354',1,0,0,0.44,0.3,0
29,'2019/05/08 21:25:41:373',1,0,0,0.44,0.3,0
30,'2019/05/08 21:25:41:388',1,0,0,0.44,0.3,0
31,'2019/05/08 21:25:41:405',1,0,0,0.44,0.3,0
32,'2019/05/08 21:25:41:421',1,0,0,0.44,0.3,0
33,'2019/05/08 21:25:41:437',1,0,0,0.44,0.3,0
34,'2019/05/08 21:25:41:454',1,0,0,0.44,0.3,0
35,'2019/05/08 21:25:41:472',1,0,0,0.44,0.3,0
36,'2019/05/08 21:25:41:488',1,0,0,0.44,0.3,0
37,'2019/05/08 21:25:41:505',1,0,0,0.44,0.3,0
38,'2019/05/08 21:25:41:521',1,0,0,0.44,0.3,0
39,'2019/05/08 21:25:41:538',1,0,0,0.44,0.3,0
40,'2019/05/08 21:25:41:556',1,0,0,0.44,0.3,0
41,'2019/05/08 21:25:41:572',1,0,0,0.44,0.3,0
42,'2019/05/08 21:25:41:588',1,0,0,0.44,0.3,0
43,'2019/05/08 21:25:41:605',1,0,0,0.44,0.3,0
44,'2019/05/08 21:25:41:622',1,0,0,0.44,0.3,0
45,'2019/05/08 21:25:41:638',1,0,0,0.44,0.3,0
46,'2019/05/08 21:25:41:654',1,0,0,0.44,0.3,0
47,'2019/05/08 21:25:41:671',1,0,0,0.44,0.3,0
48,'2019/05/08 21:25:41:688',1,0,0,0.44,0.3,0
49,'2019/05/08 21:25:41:705',1,0,0,0.44,0.3,0
50,'2019/05/08 21:25:41:722',1,0,0,0.44,0.3,0
51,'2019/05/08 21:25:41:739',1,0,0,0.44,0.3,0
52,'2019/05/08 21:25:41:755',1,0,0,0.44,0.3,0
53,'2019/05/08 21:25:41:772',1,0,0,0.44,0.3,0
54,'2019/05/08 21:25:41:789',1,0,0,0.44,0.3,0
55,'2019/05/08 21:25:41:804',1,0,0,0.44,0.3,0
56,'2019/05/08 21:25:41:822',1,0,0,0.44,0.3,0
57,'2019/05/08 21:25:41:839',1,0,0,0.44,0.3,0
58,'2019/05/08 21:25:41:855',1,0,0,0.44,0.3,0
59,'2019/05/08 21:25:41:872',1,0,0,0.44,0.3,0
60,'2019/05/08 21:25:41:889',1,0,0,0.44,0.3,0
61,'2019/05/08 21:25:41:905',1,0,0,0.44,0.3,0
62,'2019/05/08 21:25:41:922',1,0,0,0.44,0.3,0
63,'2019/05/08 21:25:41:939',1,0,0,0.44,0.3,0
64,'2019/05/08 21:25:41:955',1,0,0,0.44,0.3,0
65,'2019/05/08 21:25:41:972',1,0,0,0.44,0.3,0
66,'2019/05/08 21:25:41:989',1,0,0,0.44,0.3,0
67,'2019/05/08 21:25:42:005',1,0,0,0.44,0.3,0
68,'2019/05/08 21:25:42:022',1,0,0,0.44,0.3,0
